*original      coinbase.com     104.18.35.15 2606:4700:4400::6812:230f NS:sam.ns.cloudflare.com MX:alt1.aspmx.l.google.com
addition       coinbaseo.com    104.21.33.33 2606:4700:3034::6815:2121 NS:becky.ns.cloudflare.com
addition       coinbase6.com    115.126.37.141 NS:v1s1.xundns.com
addition       coinbaseh.com    115.126.37.141 NS:v1s1.xundns.com
addition       coinbasef.com    15.197.148.33 NS:ns31.domaincontrol.com
addition       coinbasei.com    15.197.148.33 NS:ns31.domaincontrol.com
addition       coinbaset.com    15.197.148.33 NS:ns31.domaincontrol.com
addition       coinbaser.com    15.197.225.128 NS:ns29.domaincontrol.com
addition       coinbasec.com    170.249.216.230 NS:ns1.htttps.org MX:coinbasec.com
addition       coinbase2.com    188.114.96.5 2a06:98c1:3120::5 NS:magnolia.ns.cloudflare.com
addition       coinbasel.com    199.59.243.226 NS:ns1.bodis.com
addition       coinbasee.com    209.196.146.115 NS:ns3.epik.com
addition       coinbasex.com    3.64.163.50 NS:ns1.dan.com
addition       coinbased.com    35.71.188.61 NS:ns1.domain.link
addition       coinbase3.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbase4.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasea.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbaseb.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbaseg.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasej.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasek.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasem.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasen.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasep.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbaseq.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbaseu.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasev.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasew.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbasey.com    99.83.176.46 NS:ns1.markmonitor.com
addition       coinbase0.com    NS:ns7.alidns.com
addition       coinbase1.com    NS:ns1.dns-parking.com
addition       coinbase9.com    NS:kiki.ns.cloudflare.com
addition       coinbases.com    NS:damon.ns.cloudflare.com
bitsquatting   coincase.com     172.232.25.148 NS:ns1.parklogic.com MX:mx156.hostedmxserver.com
bitsquatting   koinbase.com     199.59.243.226 NS:ns1.bodis.com
bitsquatting   soinbase.com     99.83.176.46 NS:ns1.markmonitor.com
homoglyph      coinbasé.com     !ServFail !ServFail NS:!ServFail
homoglyph      coinbasẹ.com     !ServFail !ServFail NS:!ServFail
homoglyph      ćoinbasè.com     !ServFail !ServFail NS:!ServFail
homoglyph      ćoinbasê.com     !ServFail !ServFail NS:!ServFail
homoglyph      çoinbasê.com     !ServFail !ServFail NS:!ServFail
