"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","coinbase.com/104.18.35.15","443","INFO","HTTP","",""
"pre_128cipher","coinbase.com/104.18.35.15","443","INFO","No 128 cipher limit bug","",""
"SSLv2","coinbase.com/104.18.35.15","443","OK","not offered","",""
"SSLv3","coinbase.com/104.18.35.15","443","OK","not offered","",""
"TLS1","coinbase.com/104.18.35.15","443","INFO","not offered","",""
"TLS1_1","coinbase.com/104.18.35.15","443","INFO","not offered","",""
"TLS1_2","coinbase.com/104.18.35.15","443","OK","offered","",""
"TLS1_3","coinbase.com/104.18.35.15","443","OK","offered with final","",""
"NPN","coinbase.com/104.18.35.15","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","coinbase.com/104.18.35.15","443","OK","h2","",""
"ALPN","coinbase.com/104.18.35.15","443","INFO","http/1.1","",""
"cipherlist_NULL","coinbase.com/104.18.35.15","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","coinbase.com/104.18.35.15","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","coinbase.com/104.18.35.15","443","OK","not offered","","CWE-327"
"cipherlist_LOW","coinbase.com/104.18.35.15","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","coinbase.com/104.18.35.15","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","coinbase.com/104.18.35.15","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","coinbase.com/104.18.35.15","443","OK","offered","",""
"cipherlist_STRONG_FS","coinbase.com/104.18.35.15","443","OK","offered","",""
"cipher_order-tls1_2","coinbase.com/104.18.35.15","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","coinbase.com/104.18.35.15","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
